OriginalTweet,Sentiment
"Hamza Abbasi is a text book youthia.. self entitled, dumb, corrupt to the core",Negative
"With Imran in the govt who's a sold our puppet to his dad, you expect all this? Meh""",Negative
they need this dumb lot..they're an asset for PTI ,Negative
Beghairati unlimited .this is turning into a joke..every day a new minister trying to take credit of previous govt projects .. hilarious ,Negative
Why do you have to embarass yourself everyday..is it like a daily dose of something? ,Negative
 the govt has to destroy life long savings of the overseas Pakistanis as well.. everyone will get the fruit of this govt ,Negative
"If 'a stone is as lethal as a rifle', perhaps the Indian Army Chief would consider arming his soldiers in the same manner as the #Kashmiris who are resisting them? ",Negative
This chawwal thinks I showed porsche cars to corrupt government officals - this much have been right after I took the first luxury rocket with vvip cabin to the moon. ,Negative
"In good humour  Let's see if I can accurately use few of these:Oye! When Khan won, I was accused by khota patwaris (stunted by lack of cognitive tabdeeli), of lifafa journalism I suggested they use burnol as daily protocol. But hey, haters gonna hate, ballas gonna ball. ",Negative
"Bhai Sb, you're focusing purely on the negative and, apparently, unable to see my point. I'm thinking strategically, you're responding emotionally which is clouding your ability to see clearly. Take good care and khuda hafiz.""",Negative
"@RaziUd i am not blaming you, sire! i quite enjoyed your 'comeback'! but, more seriously, do tell your PM (since your bio says you are 'PTIFamily') that he needs to dress up more in line with his acquired station in life! leather jackets are for talangas!",Negative
IK talks about corruption as if the system to which people respond is neutral,Negative
"@MSadiKhan @nadeemhaque @MiftahIsmail @UzairYounus you have already joined the club of your PM if you can't differentiate between debt and debt-servicing. or, worse, juxtapose figures from 1971 with figures from 2018.""",Negative
 Chauhan is a man i had banned from my programme at the request of my discerning PTI friends who thought he lost votes for PTI every time he opened his mouth. ,Negative
"this guy actually thinks PTI has got rid of dynasties! is he one of the seven sleepers of Ephesus, who has just woken up, or, more likely, just a partisan troll!? ",Negative
i have a very humble request to make to all Insaafians: could we please drop this holier-than-thou poppycock and accept that it's the same shit garbed in PTI flag?,Negative
"@Humayrah1358 @salman2979 well, one of those days when it's more fun to poke holes in the flimsy arguments put out by PTI wallahs!""",Negative
"@Humayrah1358 dunno about that but can't stand the stupid shit trotted out by PTI supporters with IQ that goes through the damn floor.""",Negative
Thank you #PTI for firmly and categorically settling the issue of who not to vote for in the upcoming elections.,Negative
"To the extent that she even mentioned on Munee's show, that publishers told her that sales of her books will go up if Imran Khan becomes PM. ",Negative
 Lol see fanboy  The Sharifs OWN their offspring. ,Negative
Precisely why I will not go to Pakistan even for a trip until jackasses like Imran and Ghafoora rule the roost. ,Negative
Yah the pressure on them is less. Because the prized possession in Punjab. Sindh seats are just additional that will make it easier for them to run through everyone. ,Negative
 lololol Yaar this is too good!! Poor PTI fanboys. Have to defend what they have been yapping against all of their pett existence.',Negative
 Imran has gotten too much of a free ride just because he is a world-renowned celebrity. ,Negative
Lol so true! Imran Khan giving lecture to Erdogan  ,Negative
"Nice thread that highlights how the educated lot who voted PTI are ready to do their bit in an inquila' they emotionally invested in, yet Khan saheb is too busy playing with his unqualified cronies #Nepotism ",Negative
I agree with Khawar. He was busy kicking dirt all this while. ,Negative
"Tanya you are anti PTI that's very clear but who do you support ? May be I could learn a thing or two ?""",Negative
"While Mufti Muneeb and Popalzai are fighting over who saw the moon first, China is launching a moon of it's own! ",Negative
"It seems, all of a sudden, that 'N' in the PMLN, stands for 'Narendra' and not 'Nawaz.'Bughz e Imran?""",Negative
"PMLN members forgot to even mention Nawaz Sharif in the oath taking session. This time they've been tuned to make up for the screw up.""",Negative
"The face of PTI. How wonderful would it be if people educated, hardworking, dynamic, people like Raja Yassir were put in the driving seat.That's the change people expect from PTI. ",Negative
"The biggest loser in all this has been Reham Khan. Lost her dignity. Lost her respect. Her book didn't sell. She has become irrelevant. She's now part of history's dustbin along with her book.""",Negative
. @AWGoraya Lol. You are telling me that we never faced lockdowns? ,Negative
"PMLN smt using photos from it's own era, of closing down roads and bridges, to show how they are being stopped from coming to Lahore. Funny. ",Negative
"The data of UNDP report is from the years 2005 to 2015. intellectualy dishonest trying to malign PTI for a report that actually doesn't have anything to do with it's rule. Shame?""",Negative
"@ShekharGupta @abbasnasir59 @RehamKhan1 Reham Khan's opinion cannot be taken seriously. She's biased and obsessed with Khan, given their history.""",Negative
'Reactions to Imran Khan's third marriage show everything that is wrong with Twitter'',Negative
"You are Finance Minister not Foreign Minister of Pakistan, focus on economy not Pakistan-Indian relations.'",Negative
"Dear PM @ImranKhanPTI please do something, don't upset Rabi baji ",Negative
@JalalQazi Not a single kebab would remain if IK is nearby! lol',Negative
 The loadshedding legacy is a gift from PMLN.',Negative
" ""PMLN government eradicated  load shedding of #Gas and #Power,""Is this a serious tweet?'",Negative
. @GulBukhari Aren't you the same fool who was campaigning for PMLN in #GE2018!A1264,Negative
The whole nation is thanking them but a bitter pseudo-journalist comes up with his small nonsense!',Negative
 You screwed your political career being a servant to fraud Sharifs.Now you are screwing your aakhirat through attacking great charity institutions! You will only succeed in earning wrath ,Negative
 Why should he be given preferential treatment? This is not merit.',Negative
"Maalick calls Fayyaz Chohan as badd-tehzeeb.Yes, same Maalick who called a liar on his program few days back claiming IMF had complained about Asad Umar.Yes, that Maalick who later did not have the #tehzeeb to tender even a mild apology when IMF denied the nonsense!'",Negative
"If Kohli thanks PMIK for his wishes, he may well have to migrate to Pakistan to save his life.'",Negative
"@SirajOfficial Siraj Uncle, why are your people sitting with Zardari and Sharifs then? Are they trying to understand corruption fully, before they act against it?'",Negative
Those announcing last year on Twitter that Maryam Safdar as the next Prime Minister! The poor glum woman goes and meets his haggard jailed father in Kot Lakhpat these days! ',Negative
"If it was not enough the way Bilawal cried rivers about his mother standing next to Zardari. Now, he will beat his chest about having CJ's endorsement of his innocence in Omni case!!""",Negative
"It seems CJP has adopted Bilawal until the latter becomes an adult. CJP is very concerned about the harmful influence of Zardari on a 31-year-old child's impressionable mind.""",Negative
" Yes, I agree. Barking dogs will bark. So you keep barking. ",Negative
"ArfaSays_ We also have an idiot who was considered to be a batting great, moving with the team as a chief selector.'",Negative
"Every single time in the press talk today Erdogan called PMK his brother, Shahbaz Sharif must have felt like a dagger in his heart.#PMIKVisitsTurkey'",Negative
"salmanmasood Salman, you call yourself a journalist?Proper etiquette?? ",Negative
"Anyone who criticises the PTI government regarding governance, ask them what they have done for the country.Ours is a society teeming with people who are free riders, hypocrites and callous bigots.",Negative
These born-again idiots were quietly inhaling the smog and thinking it's free cigarettes when Non was in power for 5 years cutting down trees,Negative
" You fool, this is a fake account you are quoting! At least check the number of followers there! I have serious doubts n you having any capacity to do research, let alone be a faculty member!'",Negative
Can you stop trolling busy people?',Negative
" ""To be more vigilant""! lol...he thinks others are fools..as if it was just a spelling mistake or a name or event mixed up! A whole friggin slanderous article was drafted and crafted, ensconced right in the heart of the shady tab",Negative
"Buy a mask to help you breathe. It will make others around you take a sigh of relief.""",Negative
". @MahbinaW @zartajgulwazir @ImranKhanPTI @Dr_YasminRashid Yes, I can tell how the smog has messed up your brain cells that you have to bite anybody you don't agree with it. Go, plant trees, and buy a mask, instead of acting like a prude.""",Negative
@ranjha001 Nawaz is right now exploring Kot Lakhpat Jail toilets! Gorgeous place! ',Negative
What kind of a clowning scholar are you? What kind of shoddy research have you done that you make unbacked wild knee-jerk assertions? You cannot be on permanent faculty. ,Negative
"@DrOsamaSiddique @pid_gov @zartajgulwazir You want the basics of climate control to be tweeted daily? And you claim to be a ""scholar""? lol'",Negative
"Aristotle of Dunya News, Habib Akram implicitly advising PMIK to accommodate oppositions' corruption streaks if he wants a smooth term as the Prime Minister! Does he really think IK will ever engage in muk-mukaa, accommodate corruption?""",Negative
"@BakhtawarBZ lol....first decide whether you want to support Sharifs or attack them. You are taking so many U-turns, it's hilarious!""",Negative
Shehbaz Sharif had offered that he would NOT take part in any proceedings that were connected with Sharifs' cases if he were to be made the PAC Chairman.So what is going on now that he's hauling NAB?,Negative
"Back injury? Obviously bowling like a horse, he was killing himself, and that's what County cricket does.",Negative
@christinalamb @BBhuttoZardari @AAliZardari Shocked and amazed at how YOU would NEVER tolerate anybody in public service to LOOT and plunder in your own country but have the audacity to interfere in others' accountability measures. Stop poking your nose i,Negative
Another shameless man bites the dust! Naya Pakistan!,Negative
"@sherryrehman @BBhuttoZardari Why get hysterical, Sherry? What are you scared of? Do fight the cases in court and show that JIT mountain of evidence is flawed, and you'll be let off.And you should distance yourself from this Zardari Circus, unless you are",Negative
@mahaif143 @ShireenMazari1 So you can judge her performance through your laptop? And IK has no idea?',Negative
"@mahaif143 @ShireenMazari1 Actually, I told you, she is IK\'s choice - he selected her, not me! lol...and you said, ""so what"". This is your attitude towards Kaptaan, and you want a Federal Minister to listen to you? You got to be kidding!'",Negative
"@MuddasirkhanPYO @MazharAbbasGEO Why don't you pray that Allah destroys those who looted the poor nation? lol - come on, say Aameen!""",Negative
"Now, don't hand over the fate of the team to the greedy little dogs on Twitter who operated your funny Team JKT circus attracting ridicule and infamy for your good name through patented abuse! lol""",Negative
Zardari must be cursing the person who advised him to return to Pakistan for the 2018 elections!!',Negative
"@ShabazGil @WaseemKhanPTI @ImranKhanPTI Didn't know you are this tall!""",Negative
"@SMQureshiPTI @OwaisKhann82 @ImranGhazaliPK Really Sir, getting the blue tick for a Federal Minister is not an achievement at all. It's basic paperwork which was needed.""",Negative
"@adnanhayee01 Actually, it's none of your business.Zulfi is choice of the skipper PMIK.""",Negative
"@shoaib100mph @furqanpti Only if you had Imran Khan as skipper, and not the hypocrite defensive clown Inzamam who used to run away from playing McGrath and Warne, and scapegoated you all the time....'",Negative
@fahadpsr @sayedzbukhari Then you are the small mind. Leaving PTI due to one fiscal policy issue! Understand?',Negative
"@fahadpsr @sayedzbukhari You are making a public show of hammering PTI, so I had to tweet. You have a better alternative than PMIK, then let me know.'",Negative
". @ZiaulHaq16 @azharjavaiduk @MuradSaeedPTI You appear on Twitter, your hair disappear from your scalp - this is change.'",Negative
. @azharjavaiduk - feeding you kids off bribes from Sharifs?,Negative
"@AbidSherAli You'll meet some of your friends in Adiala too soon and there you can talk with them on this in detail.""",Negative
" Cool. Join those who looted the Exchequer.You find it difficult to pay tax now when you know PMIK would not let the money go waste, and policies are generally to uplift the very poor.",Negative
@Wuzgar @Hammad_Azhar To hell with your senseless support! You are peeved to pay taxes which are required to run your country even though you know PM will not let your money be looted or wasted!To hell with your support as you can't see how tax reforms ar,Negative
"@HeraldPakistan In the future, don't put the name of Imran Khan in the list if you want somebody else to win. Huh!""",Negative
Three cheers for this clown who thinks he can hit on Imran Khan's integrity through his talk! It's making the fool collapse even further in voter estimation!,Negative
"@betterpakistan Bewaqoof insaan - don't you know youth TRUSTS IK. The more you talk against him, the more bad name YOU get! lolP.S. Don't let this stop you from digging the hole bigger!""",Negative
"To get into a battle of words with @ImranKhanPTI is the height of stupidity. Whoever has tried it, has smashed face first into the dust! ",Negative
" Yes, I thought we'd get a tweet of her cussing IK because his father converted excess dollars to PKR as the rate was so sky high.",Negative
". @AliHasnainMalik @abdalian4ever @thealiwarsi lol ...these two pathetic clowns were bandying Economics 101 material, pontificating as if they were expounding on some arcane macro research thesis! ",Negative
". @abdalian4ever @ImranKhanPTI Dear Adnan You are not even fit to tie PMIK's shoelace. so shove your economic reasoning up your Patwaree and take your idiotic proposals to Adiala - maybe they will help your paymaster understand how to make Pak competitive, when he plays a desktop game in his cell.""",Negative
"Interesting thread. Should be read by all and sundry, but especially @ImranKhanPTI @BBhuttoZardari @CMShehbaz, for posterity.Today you're giving them the Ahmadis. Tomorrow you'll give them your soul. ",Negative
"In meeting with US envoy, Pakistan's Imran Khan sneaks in a couple of jokes via @TOIWorld""",Negative
"Frankly, @OfficialMqm doesn't have much of a choice. Either it keeps on getting clobbered by the Rangers etc in Sindh (that's likely if it joins PMLQ & PMLN in the centre as opposition) or it rises to the occasion, kisses @ImranKhanPTI's ring and enters the national mainstream. ",Negative
"Was it a Sajda, or a Bonsa?Shirk? Or Sufism?Finally, we hear from @ImranKhanPTI about his actions in Pak Pattan. ",Negative
Those who brought these people in govt will themselves kick these incapable souls out ... eventually it's the money that matters ... ofcourse,Negative
"Dear PMLN, The Pakistan Army doesn't give a damn who you are.It only cares if you're a Ghazi, or a Shaheed.Best rgds,A Shaheed's Son ",Negative
Currently whole PTI team from Imran to Buzdar are aimlessly jumping from one branch to another like a monkey - AIMLESSLY,Negative
,
"Two mistakes @SMQureshiPTI should resist at #UNGA                                                                                                                                                                                                                                                                                                                     1)Pls, no diatribe on how bad  previous govt was. Talk about #Pakistan priorities,not #PTI agenda.                                                                                                                                                                                                                                                    2)Address #India boldly, firmly. But quickly. Don't cede too much precious time talking India. PK foreign policy has to be bigger. ",Neutral
"An impassioned friend has been vehemently suggesting that once the political appointments are done, the biggest challenge for the new government in Pakistan would be to fill 150+ key professional posts which require expertise, sincerity and implementation skills.",Neutral
ImranKhanPTI should have spoken more on the topic  population control today on the event. He could speak well on what it means and why it's required in detail.,Neutral
 Waited for years to see you lead this country @ImranKhanPTI Dont wait for an absolute mandate. Stick to your decisions and get the job done. ,Neutral
Found half a dozen who voted PTI discussing Arif Alvi should not have been nominated for President as he is shia,Neutral
. @ImranKhanPTI should just keep PM office and appoint minsiters. ,Neutral
"PTI needs CM punjab who is stern, has excellent knowledge and experience with baabucracy, knows how police works here and ensures all districts get equal attention and share in terms of development and welfare",Neutral
Protest is basic fundamental right. Punjab govt should release the protestors as soon as possible,Neutral
Dr haider ali from swat and Taimur are very good options for CM kpk ,Neutral
Dr Yasmin Rashid is number 1 on Punjab reserve seats.She is 1 of the most accomplished doctors of Pakistan.Her name should be considered for Punjab CMship ,Neutral
#NA120WelcomesMaryam Lets put all issues party affiliations aside focus on catching root of all corruption,Neutral
"Chief Election Commissioner wants to know where in the constitution it says that an mna can contest another NA seat. He needs to read article 223 of the constitution, which clearly envisages such a situation.",Neutral
" You can disagree with his choice of words or even his views, but you cannot disagree with him that whatever happens must do so within ambit of law.",Neutral
"
PTI must hold Punjab CM Pervaiz Elahi responsible for todays incident. ",Neutral
The government MUST take a firm stand & rise to the occasion. Rise to the occasion or fall to the status quo. Leaders are made by the situations they are confronted with.,Neutral
Imran Khan should postpone his plan as any anti-state element can seize this opportunity to spread anarchy in the country.,Neutral
"Todays unfortunate firing incident requires a high-level investigation as it is a matter of grave concern. Therefore, the Punjab government should constitute a JIT at the earliest to investigate the matter thoroughly.",Neutral
I condemn this cowardly attack on Imran Khan. May Allah give him a swift recovery. Punjab Government must immediately review the security arrangement it had assured of.,Neutral
Imran Khan should have taken a day or two off in solidarity with victims of Mastung attack. ,Neutral
Azam Swat is such a scuzzbag. Prime Minister Imran Khan should get rid of him. This ain't a plutocracy. ,Neutral
ImranKhanPTI and team should be careful appointing non-elected party members on key positions. We have many MPAs who can do these jobs as Chairmen and DGs',Neutral
Imran Khan shouldn't give ticket to Dawar Kundi in GE 2018. He can stoop down to any level against his rivals in the same party for political mileage.,Neutral
" The spokesperson of PTI dr Saleem must assist his Govt to plug all the loopholes for rent seeking, plunder of national wealth and money laundering. ",Neutral
"Mr Alvi you should accept the responsibility of Foul language on PTI-run social media, if you had any responsibility or/and anybody else, before vying for the prestigious office of the President of Republic.'",Neutral
PTI @pid_gov mainly @fawadchaudhry being info minister should think out of the box and start making such TVC for public awareness or service message. ,Neutral
If JIT thinks Murad Ali Shah name should be removed from ECL then they should request  Govt and then it maybe implemented. ,Neutral
"Under the CPEC umbrella, Pakistan should find ways to partner with  Netherlands & Chinese companies for Agri production & Food processing supply chain and ultimately increase Agri & Food exports to China.  This could benefit us a lot.   I hope taskforce on Agri is working on it'",Neutral
"Can Pakistan Follow the Singapore Way?  Can @ImranKhanPTI be the Lee Kuan Yew who started ""Clean & Green Singapore""?  Here is how Singapore Cleaned up itself and is doing.  We need a bit of change: Cleaning is our duty, not cleaners Job. ",Neutral
"Should IK Talk about today's judgment? YES- HE MUST  He should stand in letter and spirit with the judgment and present it as a move forward.  He should also stress to continue having the blasphemy law (as he already does) however should stress more that no one is falsely accusd""",Neutral
" But your side, with all data, is in the best position to determien how better available data can be presented.  An advancec analytics really can guide to recoemnd policy changes...not just the simple corrective me",Neutral
 Should not system ask about the Jurisdiction of the matter concerned instead of the complainent?  If it Overseas jusridction then the Embassy name if local then Authority name?  Instead of all this District/tehsil,Neutral
Such issues [link to Zulfi Bokhari] should be run as per the national interests & not on friendship\'s basis,Neutral
Executive Council is quite weak &  little capable to prepare recommendation for carving South Punjab Province.True representation of real stakeholders is badly missing in this council.@ImranKhanPTI @ShahMahmoodQ @JahangirKTareen @fawadchaudhry must review this council.,Neutral
"Khan sb it's serious matter and civil service must be overhauled with specific focus on such aptitude, behaviour, attitude, habits, etc of Officers. DMG ruled the roost  recently. ",Neutral
. @TheRealPCB new chairman Mr Mani with consultation of PM @ImranKhanPTI should overhaul &  restructure Pakistan Cricket to catch-up with new era of this game.Unfortunately we're still playing old cricket. ,Neutral
"Ur promise of Naya Pakistan needs to pledge that state to rise above creed,caste & color. Today people ask whn wld Pak give equal right 2 its citizens including #AtifMian?'",Neutral
Islamabad &  Washington must engage each other to resolve all issues.Don't see any unusual event if Pakistan PM @ImranKhanPTI took call of @SecPompeo which other generates controversy. Many believe that @SMQurreshiPTI should hav taken this good call. @StateDept @ForeignOfficePk',Neutral
"With revamping mode aptitude, @PTIofficial should strengthen institutions by empowering their own-grown bright Officers.Many institutes,IB,NACTA,FIA,NAB,SBP in particular,seriously need overhauling to promise good governance.Set example with Shujaatullah Qureshi who heads IB.'",Neutral
Imran Khan  must immediately hand over power to PMLN or PPP so they can take country back to the Super Power slot that we lost in last 5 months.',Neutral
Get him a job in Sales & Marketing (Lahore). ,Neutral
Imran Khan needs to fire his entire team and appoint journalists at core posts. Apparently they have solutions to all problems in the country including kapas ki fasal and Amreekan sundi.',Neutral
You need to apologize to @ImranKhanPTI in writing. It's okay. Apologies accepted. Now go to the nearest rehab centre. ,Neutral
"Instead of mocking the government, Zardari need to worry about daku daddy because Imran Khan is serious about corruption. '",Neutral
Imran Khan as PM should immediately step down for nominating the CM his Twitter followers do not know or like. ,Neutral
"If only Imran Khan could clone himself, Asad Umar, Jehangir Tareen and Dr.Yasmeen Rashid, there won't be any embarrassing delays in forming the cabinet.""",Neutral
. @FitAndFeminist Better get yourself sorted. A289,Neutral
"Senate approves amendment to the ECL Ordinance. New clause that before placing a person on the list, the govt should specify the grounds and inform the person within 24 hours.  ",Neutral
"The Punjab Prohibition of Kite Flying Act 2007 outlaws the manufacturing, selling and trading of paper kites and chemical-coated twines. If PTI wants to revive Basant it will need to bring new legislation.'",Neutral
"If PTI wants to win Punjab again, in the next national election, it needs to hold LG polls now.",Neutral
PTI should amend the LG laws and hold elections. ,Neutral
Schools in Sindh to teach students about sexual harassment. @DrMuradPTI we need similar measures in Punjab. ,Neutral
"If South Punjab gets a separate provincial assembly, PTI would lose majority in central and north Punjab. PMLN could even gets its chief minister elected. Would PTI risk it? ",Neutral
"If PTI were to keep its promise of bifurcating Punjab, it would easily be able to form government in South Punjab, but it could end up losing the rest of the province to the PMLN. Report by Majid Nizami ",Neutral
"Most want Imran Khan to succeed and wish for hope, however that success can only happen if there is hope for Pakistan's religious minorities, women, marginalized ethnicities, agricultural and industrial workforce and many other groups left behind on the \'development\' agenda.'",Neutral
"Guys please stop making fun of PTI over laptop scheme... Out of embarrassment they might stop it for the young people , just like they halted all other development n welfare projects..let them distribute, albeit with Imran's picture , still let them do it""",Neutral
"Revoke the access of Tom and Harry , Dick, you're the PM of Pakistan now, you ought to be using your account yourself! ",Neutral
"Had the govt been doing something you didn't have to tell people to donate their salaries for Thar.""",Neutral
"Definitely with safety measures.. like helmet protective wire should be a must, and govt should strictly monitor dour'",Neutral
"PTI folks should understand that posting pics of people with their exes, when they're now in a new relationship, is totally in bad taste and disrespectful  to the current spouse.. it's basic decency and not related to party differences .""",Neutral
Leadership of any 'movement' should operate within parameters of Constitution government representatives have an extra duty to voice concerns of people & conduct themselves according to the law.,Neutral
"Shehryar, I partially agree with you. Diplomatic comportment is essential to effective government leadership, yet I believe more direct communication & action on the part of Pakistan's leadership is needed. Those with inflated egos (in PTI, et alia) - are not good for the country ",Neutral
We should embrace constructive dialogue - differences of opinion can help broaden perspective. ,Neutral
"My pleasure @qaisernawab098 - #teachers play a critical role in the development of #students, we should encourage them and provide as much support as possible. #Education should be a priority!  ",Neutral
 More robust/technologically advanced security should be implemented ,Neutral
"Takeaways from various speakers at #PTCPakistan: Education, healthcare and environment are top priorities in @ImranKhanPTI@PTIofficial new government.We need to focus on understanding issues rather than automatically arguing against them- @AndleebAbbas@AsiaProgram @INDUSpkusa'",Neutral
"Shchoudhary SC, thank you. To be clear, I am not saying any party is free from corruption, etc. None are flawless. I am simply saying government should be the instrument of justice & political parties, particularly those who have advocated for justice A632",Neutral
"Good to hear! Expose #FakeNews accounts as a social media society we need to find ways to hold social media accountable for providing a platform that is accessible, fair yet does not contribute to unrest amongst the masses by enabling irresponsible & discriminatory messaging. ",Neutral
"Yes, why is this the prevailing narrative? There's a strong correlation between #NarrativeEconomics & #PerceptionManagement. Do not let others speak for you/decide who you are. Our actions speak louder than others' words- frustrating those words may B at times. Truth prevails. ",Neutral
"If more politicians put the People of Pakistan first, and didn't sell out, the country would be in a much better state than it is in now.""",Neutral
Sincere prayers 4 ALL #journalists & ALL political parties contesting elections R needed. Counter Terrorism is not the space 4 political partisanship.,Neutral
 CTD's should all be on same page in synergy with military to ensure safety 4 voters and trouble free elections 4 all. ,Neutral
"Twitterverse: pls suggest Pakistani youth (under 40 y/o) who're really shaking things up making genuine efforts 2 improve their country. Need young women & men, who are excellent role models, make their country proud & the world take notice -change agents creating a new narrative""",Neutral
" If our governments live tweeted their meetings, I bet they would be more productive! ) ",Neutral
"Mashal Malik\'s husband is in jail in India as a Kashmiri freedom fighter... depending on the special interest, one country\'s ""freedom fighter"" is another country\'s ""terrorist"". International media should pay attention 2 how #Indian Forces R ""armed"" & how #Kashmiris are ""armed"". ",Neutral
"Public Service should be service 2 the public. If U take an #oath 2 serve, U serve the people - not UR bank account, not special interests, but the people. If U can't #honour an oath, don't serve: ",Neutral
