OriginalTweet,Sentiment
ہماری مسیحی برادری کو ایسٹر کی خوشیاں مبارک۔ میری اپیل ہے کہ کرونا کے ہنگام گھروں تک محدود رہئیے اور قومی حفاظتی تدابیر کو بطور خاص اپنا کر اپنے اور اپنے اہل خانہ کی سلامتی کا اہتمام کرتے ہوئے عبادات کیجئے اور خوشیاں منائیے۔,Neutral
حالیہ غیرقانونی اقدام کاتو وقت بھی قابل مذمت ہےکیونکہ مودی سرکاردنیاکی کرونا پرمرکوز توجہ سےناجائزفائدہ اٹھاتےہوئے BJP کےہندوبالادستی کےایجنڈے(ہندوتوا)کو آگےبڑھانےکی کوشش کررہی ہے۔اقوام متحدہ/عالمی برادری بھارت کےہاتھوں سلامتی کونسل کی قراردادوں/عالمی قانون کی مسلسل پامالی روکیں۔,Neutral
میں چاہتا ہوں کہ نوجوان کرونا جیسی آفت سے نمٹنے کی کوششوں میں ہمارا ہاتھ بٹائیں اور ہماری کرونا ٹائیگر فورس جسے اس وباء سے جنم لینے والے مصائب کیخلاف جہاد کیلئے منظم کیاجائے گا، کا حصہ بنتے ہوئے بیماری کیخلاف جنگ میں اپنا کردار ادا کریں۔,Neutral
"وباء کیخلاف قومی مدافعت میں معاونت کیلئے ""وزیراعظم کا کرونا ریلیف فنڈ-2020"" قائم کردیا گیا ہے۔ میں چاہتا ہوں کہ سب اس فنڈ میں اپنا حصہ ڈالیں تاکہ ان لوگوں کی دیکھ بھال ممکن ہوسکے جنہیں بندشوں (لاک ڈاؤن) نے افلاس کے کنارے لاکھڑا کیا ہے۔",Neutral
"صورتحال کاتقاضا ہے کہ عوام آگے بڑھیں اور اپنے ہم وطنوں کو کرونا جیسی آفت سے محفوظ بنانے کی تحریک میں ہمارا ہاتھ بٹاتے ہوئے کسی حکومتی فرمان کا انتظار کئے بغیر   ہی اپنے آپ کو ازخود گھروں تک محدود رکھیں اور رضاکارانہ لاک ڈاؤن کی راہ اختیار کریں کیونکہ 

""جو محدود ہے۔۔۔وہ محفوظ ہے""",Neutral
جب وہ موسیقار،کہ جنہوں نے فروغِ امن کو اپنی زندگی کا نصب العین بنائے رکھا، بھی ہندوستان میں جاری قتل و غارت گری پر آواز بلند کرنے لگ جائیں تو دنیا پر بیداری واجب ہوجاتی ہے۔اقوام عالم اپنا فرض نبھائیں اور بھارتی بربریت کا فوری نوٹس لیں۔ تاریخ کے صحیح رخ پر کھڑا ہونے کا یہی وقت ہے۔ ,Neutral
آج کمشیری خواتین کایوم مزاحمت ہے۔ گزشتہ7عشروں سے بھارتی افواج کشمیرمیں خواتین کیخلاف سنگین جنگی جرائم میں ملوث ہیں۔ 5اگست کےبعدمودی سرکار کےمسلط کردہ محاصرےنےانکی مشکلات کئی گنابڑھادی ہیں۔ عالمی برادری خصوصاًخواتین آگے بڑھ کر کشمیرمیں امن کیلئے ان بہادرکشمیری خواتین کی آواز بنیں۔,Neutral
میں نے دفتر خارجہ اور وزارت سمندر پار پاکستانیز کو ہدایات دی ہیں کہ ووہان میں پھنسے ہوئے ہمارے طلبہ و طالبات کیلئے ہر ممکن قدم اٹھایا جائے۔,Neutral
کشمیر کی ڈیموگرافی تبدیل کرنے کا منصوبہ چوتھے جینیوا کنونشن کے تحت جنگی جرم ہے۔ ہمیں اہلِ کشمیر کو ٹھوس پیغام بجھوانا ہے کہ بحیثیت قوم ہم پوری قوت سے انکی پشت پر ہیں۔ چنانچہ تمام پاکستانی سب کچھ چھوڑ چھاڑ کر کل آدھے گھنٹے کیلئے باہر نکلیں اور اہلِ کشمیر کے ساتھ اظہار یکجہتی کریں۔,Neutral
میں چاہتا ہوں کہ تمام پاکستانی کشمیری عوام سے یکجہتی کے اظہار اور مقبوضہ کشمیر کے لوگوں کو واضح پیغام بجھوانے کیلئے کہ پوری پاکستانی قوم ان کے ساتھ کھڑی ہے، کل دن 12 بجے سے لیکر 12:30 تک باہر نکلیں۔,Neutral
میں نے آج ہدایات جاری کردی ہیں کہ رجسٹرڈ افغان مہاجرین بنک اکاؤنٹس کھلوا سکتے ہیں اور اب سے باضابطہ طور پر ملکی معیشت میں حصہ لے سکتے ہیں۔ یہ کام بہت پہلے ہوجانا چاہئیے تھا۔,Neutral
چیئرمین نیب کو اپنے ادارے میں سے اس شرمناک حرکت کے ذمہ دار عناصر کیخلاف کارروائی کرنی چاہئیے۔ ,Neutral
سندھ حکومت ذمہ داروں کیخلاف فوری اور فیصلہ کن کارروائی کرے۔ یہ قرآن عظیم الشان کی تعلیمات کے خلاف ہے۔ ,Neutral
"ترقی تو ساری اشتہارات تک ہی محدود رہی۔ 
نگران حکومت قوم کو ملکی معیشت کی حقیقی صورتحال سے آگاہ کرے۔ ",Neutral
پاکستان کیلئے ایک خوبصورت خواب کو تصویری خاکے میں ڈھالنے پر اذلان عسکری کا خصوصی شکریہ۔ انکا خاکہ ہم نے اس سال عید کارڈ کے طور پر استعمال کیا۔ پاکستان کے حوالے سے ہمارے بچوں کی تخلیق اور جدید خیالات بے حدوحساب ہیں۔ ہمیں بطور قوم اس قابلیت کی سرپرستی کرنی چاہئیے۔ ,Neutral
ہم اس رپورٹ کا خیر مقدم کرتے ہوئے او آئی سی، یورپین یونین اور انسانی حقوق کی تنظیموں سے اپنا وزن رپورٹ کے پلڑے میں ڈالنے کا مطالبہ کرتے ہیں کہ وہ مقبوضہ کشمیر میں بھارت کے ہاتھوں انسانی حقوق کی خلاف ورزیوں کی تحقیقات کیلئے آواز اٹھائیں۔ ,Neutral
تحریک انصاف کے دیرینہ کارکنان کیلئے میرا پیغام ہے کہ اگر آپ میں سے کوئی سمجھتا ہے کہ پارٹی ٹکٹوں کی تقسیم کے دوران اسے نظر انداز کیا گیا یا اس سے ناانصافی کی گئی تو وہ تحریک انصاف کے مرکزی دفتر کے پتے پر ایڈیشنل سیکرٹری جنرل ارشد داد کو اپنی درخواست بھیجے۔,Neutral
"خط میں میں نے خصوصی طور پر نشاندہی کی کہ قوم کو اعتماد میں لینا اور توانائی کے شعبے کی بدحالی کے ذمہ داروں کو سامنے لانا نگران حکومت کا فرض ہے۔نگران حکومت قوم کو یہ بھی بتائے کہ اسے اس ""گڈ گورننس"" کی جھلک بھی کہیں دکھائی دیتی ہے جسکا ڈھنڈورہ نون لیگی حکومت اشتہاروں میں پیٹتی رہی؟ ",Neutral
اگر تحریک انصاف کا کوئی کارکن پارٹی ٹکٹ دلوانے کے عوض پیسوں کا تقاضا کرے یا آپ کے علم میں کوئی ایسا امیدوار ہو جو ٹکٹ کے حصول کیلئے پیسے کی پیشکش کرتا ہو تو 0303-5375113 پر اسکی اطلاع دیں۔ ٹکٹوں کا حتمی فیصلہ میں خود کروں گا۔ تحریک انصاف,Neutral
پنجاب میں شہباز شریف کیساتھ کام کرنے والے تمام سینئر افسران کے نام ای سی ایل میں شامل کئے جائیں اور انہیں ملک چھوڑنے سے روکا جائے ,Neutral
میں فاٹا کےعوام کو مبارکباد پیش کرنا چاہتا ہوں۔ فاٹا کا پختونخوا میں انضمام ان باحمیت اور سخت جان لوگوں کیلئے عہد نو کا آغاز ہے جنہیں دنیا میں پیچھے چھوڑ دیا گیا۔ انضمام کی راہ میں کئی دشواریاں حائل ہوں گی تاہم پختہ عزم اور ثابت قدمی سے ان پر قابو پانا ممکن ہے۔,Neutral
ان مشکل حالات میں اپنے لوگوں کی عزتِ نفس کو مقدم رکھیں۔جس قدر ممکن ہو امداد کریں لیکن خدارا اس کو photo op نہ بنائیں۔ہیلی کاپٹروں سے تھیلے پھینک کر انسانیت کی تذلیل نہ کریں۔امداد گھر کی دہلیز تک پہنچائیں جن کے گھر بہہ گئے ہیں ان کی رہائش اور سہولت کا انتظام کریں ,Neutral
ابھی تک آپ غلطیاں کررہےتھے۔اب بلنڈر کرنےکےدرپہ ہیں۔ غلطیاں سدھارناآسان ہوتا ہے، بلنڈرز کا خمیازہ بھگتنا پڑتاہے۔ فقط ایک مخلصانہ تنبیہ اور دوستانہ مشورہ ہےاس ملک پر رحم کرلیں اور کتنے misadventures کرنے ہیں,Neutral
نجاب بھر میں ارشد شریف، عمران ریاض خان، سمیع ابراہیم، صابر شاکر اور دیگرصحافیوں کے خلاف جتنے جعلی ایف آئ آرز درج ہوئے انکو نہ صرف واپس لینا چاہئے بلکہ جعلی ایف آئ آرز درج کرنے والو کے خلاف بھی قانون کے مطابق کاروائ ہونی چاہئے۔,Neutral
امریکی غلامی کو قبول نہ کرنے والے خوددار پاکستانیوں پر پنجاب میں جتنے جعلی ایف آئ آرز ہوئے انکو واپس لینا چاہئے۔ جنہوں نے جعلی ایف آئ آرز درج کئے،خواتین اور بچوں پر شیلنگ کی، گھروں میں گھس کر فیملیز کو ہراساں کیا انکے خلاف قانون کے مطابق فوری کاروائ کا آغاز ہونا چاہئے۔,Neutral
 حل ایک ہی ہے فوری انتخابات تاکہ پاکستانی خود اپنے مستقبل کا فیصلہ کریں۔,Neutral
غریب کی مزدوری چھیننے ،  کاروبار بند کرنے اورمعیشت کو تباہ کرنے کی بجائے سندھ حکومت اپنی کارکردگی درست کریں اور ایس او پیز پر عمل درآمد کو بہتر بنائے ۔,Neutral
وفاق کی تقلید کرتے ہوئے سندھ حکومت میں شامل مشیران و معاون خصوصی کی شہریت اور اثاثے قوم کے سامنے آنے چاہئیں,Neutral
"ٹی وی اسکرین پر سندھ کے مناظر دکھائے جا رہے ہیں کہ فاقہ کشی پر مجبور عوام سڑکوں پر اور مسلسل احتجاج ہو رہے ہیں۔اتنی سے گزارش کی تھی کہ موثر لاک ڈاون کیلے موثر حکمت عملی اختیار کی جائے اور گھروں کی دہلیز پر سہولیات کی فراہمی یقینی بنائ جائے۔
خدارا بیانات نہیں انتظامات",Neutral
"آج وکلاء برادری کو چاہیئے کہ وہ آئین کےتحفظ کے لیے بلیک میلنگ کیخلاف عدلیہ کیساتھ کھڑے ہوں۔ اگر عمران ریاض،سمیع ابراهيم،صابر شاکر،جمیل فاروقی جیسے اور صحافی بھی ارشد شریف کے ساتھ کھڑے ہو جاتے تو ان پر 16 FIRs نہ کٹتی،ان کا قتل نہ ہوتا۔ @FarrukhHabibISF 

 ",Neutral
"جام پور کے ووٹرز سے گزارش ہے کہ باہر نکلیں اور تحریک انصاف کے امیدوار محسن لغاری کو ووٹ دیں: عمران خان

",Neutral
مطالبہ کرتا ہوں آرمی چیف اور DG ISI سے اگر ہم نے غداری کی ہے تو پھر ثبوت قوم کے سامنے لےکر آئیں، اگر ہم نے خارجی طاقت اور خارجی وسائل استعمال نہیں کیے تو پھر دودھ کا دودھ اور پانی کا پانی ہونا چاہیے۔ ,Neutral
ملکی ترقی و خوشحالی میں عدلیہ کلیدی کردار ادا کر سکتی ہے - چئیرمین تحریک انصاف عمران خان ,Neutral
"انتخابات سے بھاگنے کے لیے آج برملا عدلیہ کیخلاف تقاریر کی جارہی ہیں، نوے دن کے اندر انتخابات کرانا آئینی ضرورت ہے۔ عمران خان 
",Neutral
"چوہدری پرویز الہیٰ اور مونس الہیٰ کو خراج تحسین پیش کرتا ہوں جس طرح انہوں نے دباؤ اور بلیک میلنگ کو برداشت کیا اور ہم پرویز الہیٰ کو پارٹی صدر بنا کر اعزاز دینا چاہتے ہیں۔ عمران خان 
",Neutral
"زمان پارک میں ایک بار پھر ہائی الرٹ جاری کردیا گیا، کارکنوں کو فوری پہنچنے کی ہدایت- @MuradSaeedPTI #زمان_پارک_پہنچو
 ",Neutral
آئیں اپنے لیڈر عمران خان کے ساتھ #جیل_بھرو_تحریک میں شامل ہو کر، اپنے ملک کے یکساں نظام عدل کی بحالی، اپنے بنیادی اور آئینی حقوق کے تحفظ اور پاکستان کی حقیقی آزادی کے حصول کی خاطر اپنا کردار ادا کریں۔ ,Neutral
": پولیس زمان پارک جانے والے روڈ بند کر رہی ہے- 

تمام ورکرز اور سپورٹرز جلد از جلد زمان پارک پہنچیں!",Neutral
"ملک بننا ریپبلک بن چکا ہے، قوم سے درخواست کرتا ہوں کہ قانون کی حکمرانی کے لیے میرے ساتھ کھڑے ہوں، عمران خان

",Neutral
"ملک کو اس بحران سے نکالنا ہے تو واحد حل قانون کی حکمرانی ہے، بیرون ملک مقیم پاکستانی ملک کا اثاثہ ہیں، انہیں ملک میں سرمایہ کاری کے لیے لائیں گے، عمران خان

",Neutral
یہ سراسر آئین کی خلاف ورزی اور جرم ہے کہ بطور وزیر اعظم وہ میرا فون ریکارڈ کرتے تھے، اور یہ کام ملک کے آرمی چیف ملک کے وزیر اعظم کو بلیک میل کرنے کے لیے کر رہے تھے، ہمیں خود شناسی کرنے کی ضرورت ہے تاکہ ہم ملک کو اس بحران  سےنکالیں: عمران خان,Neutral
"حقیقی آزادی کیلئے جیل بھرو تحریک میں شامل ہوں، عمران خان

رجسٹریشن کے لیے اپنے متعلقہ اضلاع کے صدور اور تنظیموں سے رابطہ کریں

 ",Neutral
رجسٹریشن کے لیے اپنے متعلقہ اضلاع کے صدور اور تنظیموں سے رابطہ کریں-,Neutral
"منی بجٹ سے عوام پر مزید مہنگائی کا بوجھ پڑے گا، ملکی مسائل کا واحد حل انتخابات ہیں۔ عمران خان 
",Neutral
 آئین پر عملدرآمد اور عدلیہ کے فیصلے پر عمل کرتے ہوئے فی الفور الیکشن شیڈول جاری کیا جائے۔  ,Neutral
آئین پر عملداری کو یقینی بنانا ہوگا، الیکشن کمیشن پر لازم ہے کہ وہ اپنی آئینی ذمہ داری پوری کرے اور لاہور ہائیکورٹ کے فیصلے پر عملدرآمد کرتے ہوئے فوری انتخابی شیڈول جاری کرے۔,Neutral
اگر ملک کو ان حالات سے نکالنا ہے تو سب کو قانون کے نیچے لانا ہوگا جب تک ادارے اور لوگ آئین کے دائرے میں رہ کر کام نہیں کرتے تب تک حالات نہیں ٹھیک ہوں گے۔چئیرمین عمران خان ,Neutral
"الیکشن کمیشن گورنر پنجاب سے مشاورت کے بعد فوری الیکشن کی تاریخ کا اعلان کرے۔  
الیکشن کمیشن اس بات کو یقینی بنائے کہ 90 روز کے اندر الیکشن ہونگے۔ لاہور ہائیکورٹ ",Neutral
"دن بھر دن ہم دلدل میں پھستے جارہے ہیں، معیشت تباہ ہو چکی ہے، سندھ میں سیاسی انتقامی کاروائیاں جاری ہیں،

میری چیف جسٹس آف پاکستان سے درخواست ہے کہ وہ ان سب چیزوں کا نوٹس لیں۔

",Neutral
ملک کو سیاسی و معاشی بحرانوں سے نکالنے کیلئے لازم ہے کہ دستور کی منشاء کو لاگو کیا جائے، ملاقات میں اتفاق,Neutral
"چیئرمین تحریک انصاف عمران خان کا اہم ترین ویڈیو پیغام- اپنے ووٹ اور پولنگ اسٹیشن کے بارے میں معلومات کے لئے اپنا قومی شناختی کارڈ نمبر 8300 پر ایس ایم ایس کریں۔

 ",Neutral
"تمام ہیلتھ کیئر ورکرز کو چیئرمین عمران خان کی دعوت ہے کہ وہ  انصاف ڈاکٹرز فورم کا حصہ بن کر ملک و قوم کی خدمت اور پالیسی سازی میں اپنا کردار ادا کریں۔ اسد عمر 
 #تم_ہٹاؤ_ہم_لائینگے_عمران ",Neutral
آج کی عدالت کی کارروائی سے تقریباً واضح ہو گیا ہے کے پنجاب اسمبلی کے الیکشن اپریل کے دوسرے ہفتے میں ہوں گے. تمام تحریک انصاف کے امیدوار حلقوں میں تیاری پکڑیں,Neutral
زرداری فیملی شریف فیملی اور مولانا اگر آپ پاکستان سے مخلص ہیں تو جو اثاثے آپکے باہر ہیں وہ لے آئیں ہم مان جائیں گے آپ مخلص ہیں ملک کے ساتھ- ہمیں ریاست پاکستان نے عدالت نے بتایا کے آپکا پیسا باہر پڑا ہوا ہے۔سعد رسول ,Neutral
حکومت ہوش کریں اور ایسے اقدامات سے باز رہے سیاستدانوں اور صحافیوں کو گرفتار کرنے کے بجائے دہشتگردی اور معیشت پر فوکس کرے سیاسی انتقام لینا بند کریں۔بیرسٹر احتشام ,Neutral
انکا کیا ہے یہ تو بھاگ کر باہر چلے جائیں گے ہم سب کو سوچنا چاہئے فکر کرنی چاہیے یہ ملک نہیں تو ہم نہیں۔عمران خان ,Neutral
آج کی عدالت کی کارروائی سے تقریباً واضح ہو گیا ہے کے پنجاب اسمبلی کے الیکشن اپریل کے دوسرے ہفتے میں ہوں گے. تمام تحریک انصاف کے امیدوار حلقوں میں تیاری پکڑیں,Neutral
 مہنگائی سے پسے ہوئے عوام کو پیٹرول اور ڈیزل کی قیمتوں میں فوری ریلیف ملنی چاہئے,Neutral
سب آگاہ ہیں کہ عمران خان کو شدید سیکورٹی خطرات ہیں. اس لئے ان کی حفاظت سے جلسہ گاہ میں آمد اور روانگی کے لئے اشد ضروری ہے کہ ان کے ہیلی کاپٹر کو پریڈ گراونڈ میں اترنے کی اجازت دی جائے. انتظامیہ اس میں تاخیر کر رہی ہے. امید ہے اسلام آباد ہائ کورٹ اس سلسلے میں جلد فیصلہ کرے گا,Neutral
مفت مشورہ : اگر آپ چاہتے ہیں کہ لوگ یقین کریں کہ آپ غیر سیاسی ہیں تو ایک سیاسی تقریر کر کے لوگوں کو اس بات کا یقین نہ دلائیں کے آپ غیر سیاسی ہیں,Neutral
عمران خان کو حراست میں لینے کی غلطی نا کرنا. پچھتاو گے,Neutral
سیلاب کی تباہ کاری سے ملک کے کئی علاقے بری طرح متاثر ہیں.  تمام وفاقی اور صوبائی حکومتوں کو اپنے ریلیف کے کام کو اولین ترجیح بنانی چاہیے.,Neutral
جمیل فاروقی کو برہنہ کر کے تشدد.  اس سب سے صرف ایک بات ثابت کی جا رہی ہے، کے ملک میں کوئی قانون نہیں.  قانون کی خلاف ورزی کی ہے تو عدالت میں پیش کریں.  ,Neutral
ملک کے کئی علاقوں خصوصاً  بلوچستان میں سیلاب سے بڑے پیمانے پر تباہ کاری ہوئی ہے اور سو سے زائد افراد ہلاک ہوئے ہیں. وفاقی اور صوبائی حکومتوں کو بروقت اور بھرپور مدد کرنی چاہئے. ان علاقوں میں تحریک انصاف کے منتخب نمائندوں اور تنظیموں کو بھی فعال کردار ادا کرنے کی ہدایت ہے,Neutral
تمام صوبائی صدور اور مقامی لیڈرشپ کو ہدایات دے دے گئ ہیں کے جو لوگ کل کے بدترین حکومتی تشدد سے شہید ہوئے ہیں ان کے ورثا کی پارٹی کی جانب سے ہر ممکن مدد کی جائے.#حقیقی_آزادی_مارچ,Neutral
تمام ملک نے لوٹوں کو وفاداریاں بدل کر آئین کی شق 63 A کی خلاف ورزی کرتے ہوئے دیکھا. اب ان کی رکنیت معطل کرنے میں تاخیر کیوں؟ الیکشن کمیشن کو اس پر فوری فیصلہ کرنا چاہیے ,Neutral
تمام تنظیمی عہدے دار اور منتخب نمائندے جو اپنے علاقوں سے جلوسوں کی قیادت کر رہے ہیں، @ImranKhanPTI کے احکامات ہیں کے جلد از جلد اسلام آباد کے لئے نکلیں. سب کی سوچ سے زیادہ لوگ جلسے میں شرکت کے لئے آ رہے ہیں، اس لئے اندازے سے زیادہ ٹائم لگے گا.,Neutral
الحمد للہ آج ملک میں ویکسینیشن کی تعداد 10 کروڑ سے تجاوز کر گئی ہے. یہ ویکسین 6 کروڑ 80 لاکھ لوگوں نے لگوائی، جن میں سے 3 کروڑ 80 لاکھ سے زائد کی مکمل ویکسینیشن ہو چکی ہے اور 3 کروڑ نے ایک ڈوز لگوائی ہے. انتہائی ضروری ہے کے جو لوگ ایک ڈوز لگوا چکے ہیں وہ دوسری ڈوز بھی لگوائیں,Neutral
الحمد للہ کم سے کم ایک ویکسین لگانے والوں کی تعداد 6 کروڑ سے تجاوز کر گئی. آج انشاءاللہ مکمل ویکسینیشن کروانے والوں کی تعداد 3 کروڑ سے زائد ہو جائے گی. 31 دسمبر تک 7 کروڑ پاکستانیوں کی ویکسینیشن کے ہدف کو انشاءاللہ حاصل کیا جائے گا. ابھی تک ویکسین نہیں لگوائی تو آج ہی لگوائیں,Neutral
قتلِ حسین اصل میں مرگِ یزید ہے. اسلام زندہ ہوتا ہے ہے ہر کربلا کے بعد. ہر وہ تحریک جو انصاف اور حق کے لئے چلائی جائے گی، کربلا اس کے لئے ایک مشعلِ راہ ہو گا,Neutral
سنا ہے کے رونادھونا شروع ہو چکا ہے. اگر اپوزیشن دھاندلی کا بے معنی راگ الاپنے کے بجائے، گریبان میں جھانکے تو شاید ان کے لئے بہتر ہو.. اگر یہ عوام کی بہتری کی کوئی بات کرتے تو شاید اتنی رسوائی نہ دیکھنی پڑتی,Neutral
آج NCOC اجلاس میں فیصلہ کیا کے آزاد کشمیر اور گلگت بلتستان میں ویکسینیشن کے کو مزید تیز کرنے کے لئے، وفاقی حکومت بڑے ویکسینیشن سینٹر اور موبائل ویکسینیشن ٹیمیں بنائے گی. آزاد کشمیر میں الیکشن کی وجہ سے اور گلگت بلتستان میں سیاحت کے سیزن کی وجہ سے ویکسینیشن تیز کرنا ضروری ہے,Neutral
کل پہلی دفعہ ایک دن میں ڈھائی لاکھ سے زائد افراد کی ویکسینیشن کی گئ. کل 267،953 لوگوں کو ویکسین لگائ گئ. تمام رجسٹرڈ لوگوں سے درخواست ہے کے جلد اپنی ویکسینیشن کے لئے ویکسین سینٹر جائیں. جن افراد کی دوسری ویکسین لگنی ہے وہ ضرور بروقت ویکسینیشن کے لئے جائیں,Neutral
امید ہے سب کی عید اچھی گزر رہی ہے. یاد دہانی کرانی ہے کے کل اور پرسوں ویکسینیشن سینٹر کھلے ہوئے ہیں اور چھٹی کے دن بھی. بہترین موقع ہے ویکسین لگوانے کا اگر آپ نے ابھی تک نہیں لگوائی. اگر آپ کی عمر 40 سال یا اس سے زیادہ ہے آپ کسی بھی ویکسینیشن سینٹر پر جا کر ویکسین لگوا سکتے ہیں,Neutral
